id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
81,2.6731,1.2125,1.5547,1.0565,2.4135,1.4736,1.2096,2.35,1.2071,2.0374,2.1627,0.8856,0.9772,1.3923,1.1093,0.8316,2.2928,1.8565,1.4259,2.3351,1.6388,2.5802,1.7353,0.7959,1.1892
82,2.4669,0.9736,1.4002,1.076,2.1989,1.2379,1.2387,2.1135,1.0643,1.7994,1.9251,0.6728,1.0126,1.1674,0.8728,0.628,2.0643,1.7105,1.294,2.0895,1.4163,2.3501,1.5789,0.6645,0.9508
83,2.4995,1.1143,1.3754,1.0145,2.2775,1.3319,1.1676,2.208,1.0658,1.9156,2.0167,0.7206,0.893,1.2229,0.9904,0.7352,2.1394,1.6897,1.2572,2.1971,1.4736,2.4464,1.5593,0.6194,1.0756
84,2.5229,1.1234,1.3928,1.0619,2.3136,1.359,1.2132,2.2345,1.1088,1.9419,2.0417,0.7481,0.9237,1.2351,1.018,0.7744,2.1672,1.7199,1.2846,2.2078,1.4979,2.4773,1.5824,0.6201,1.0775
85,2.548,1.135,1.4126,1.113,2.352,1.3887,1.2624,2.263,1.155,1.9702,2.0686,0.7794,0.9586,1.2495,1.0488,0.8173,2.197,1.7527,1.3148,2.2197,1.5245,2.5103,1.6079,0.625,1.0815
86,2.5772,1.1521,1.437,1.1647,2.3941,1.4231,1.3122,2.2957,1.2042,2.0028,2.0999,0.8165,0.9956,1.2697,1.0846,0.8641,2.2311,1.7892,1.3491,2.2362,1.5559,2.5471,1.6377,0.6377,1.0916
87,2.6053,1.1672,1.4624,1.2177,2.4337,1.4554,1.3638,2.3258,1.2529,2.0326,2.1288,0.8532,1.0366,1.2891,1.1183,0.9087,2.2629,1.8259,1.3845,2.2501,1.586,2.5812,1.6679,0.6543,1.1001
88,2.6363,1.1893,1.4903,1.2702,2.4769,1.4927,1.4146,2.3604,1.3034,2.0673,2.1622,0.8945,1.0769,1.3136,1.1575,0.9578,2.2988,1.8644,1.4217,2.2692,1.6202,2.6195,1.7004,0.676,1.1158
89,2.6641,1.2101,1.5162,1.3197,2.516,1.5266,1.4626,2.3914,1.3498,2.0987,2.1922,0.9328,1.1158,1.3361,1.1936,1.0031,2.331,1.8997,1.4561,2.2861,1.6513,2.6539,1.7302,0.6981,1.1307
90,2.6947,1.232,1.5464,1.3735,2.5574,1.5627,1.5152,2.4242,1.4001,2.1315,2.2241,0.9747,1.1606,1.3614,1.2319,1.0507,2.3655,1.9392,1.4952,2.3037,1.6852,2.6901,1.7642,0.7264,1.1471
91,2.7282,1.2606,1.5788,1.4269,2.6023,1.6034,1.5671,2.4612,1.452,2.169,2.2603,1.0203,1.2047,1.3915,1.2751,1.102,2.4038,1.9802,1.5359,2.3265,1.7229,2.7303,1.8002,0.7586,1.1703
92,2.7594,1.2881,1.61,1.4803,2.6448,1.6421,1.6192,2.496,1.5024,2.2044,2.2943,1.0644,1.2494,1.4199,1.3166,1.1519,2.4398,2.0197,1.5753,2.3471,1.7587,2.7682,1.8347,0.791,1.1926
93,2.7954,1.3188,1.6469,1.5351,2.6905,1.6843,1.6728,2.5342,1.5558,2.2428,2.3319,1.1125,1.2973,1.4536,1.3611,1.2035,2.4796,2.0638,1.6197,2.3716,1.7989,2.8092,1.8744,0.8301,1.2191
94,2.936,1.5003,1.7474,1.4522,2.8114,1.8287,1.5797,2.6938,1.5972,2.4014,2.494,1.2224,1.2177,1.6228,1.4932,1.2821,2.6285,2.1326,1.6802,2.5775,1.9425,2.9561,1.9657,0.9365,1.4193
95,2.749,1.2832,1.5987,1.4716,2.6356,1.6335,1.6103,2.4876,1.4915,2.1973,2.2859,1.0543,1.2393,1.4106,1.3091,1.1442,2.4305,2.0081,1.5636,2.3408,1.7489,2.7599,1.8232,0.7796,1.1874
96,2.721,1.2814,1.5643,1.4523,2.6174,1.6179,1.5896,2.4717,1.466,2.187,2.2693,1.0322,1.2099,1.3878,1.2991,1.1351,2.4104,1.9749,1.5297,2.3295,1.7258,2.7447,1.7894,0.7456,1.1826
97,2.6932,1.2808,1.5301,1.4339,2.5996,1.603,1.5696,2.4563,1.4411,2.1774,2.2532,1.0113,1.1812,1.3657,1.2903,1.1274,2.3908,1.942,1.496,2.3189,1.7033,2.7301,1.7559,0.7122,1.1791
98,2.6704,1.2806,1.5022,1.4178,2.5846,1.5907,1.5522,2.4435,1.42,2.1693,2.24,0.994,1.1569,1.3481,1.2829,1.1206,2.3745,1.9147,1.4681,2.3105,1.6848,2.7177,1.7283,0.6851,1.1769
99,2.6431,1.2822,1.4685,1.4009,2.5677,1.5774,1.5335,2.4291,1.3963,2.1609,2.225,0.9751,1.1293,1.3275,1.2761,1.1153,2.3557,1.8823,1.435,2.301,1.6634,2.704,1.6952,0.6529,1.1758
100,2.617,1.2831,1.4367,1.3855,2.5509,1.5642,1.5164,2.4147,1.3738,2.1521,2.21,0.9571,1.1041,1.3077,1.2692,1.11,2.3373,1.8515,1.4037,2.2912,1.6428,2.6901,1.6639,0.6228,1.1743
101,2.5934,1.2896,1.4064,1.3704,2.5377,1.5554,1.4992,2.4044,1.3534,2.1479,2.1993,0.9433,1.0779,1.2921,1.2673,1.1091,2.3226,1.822,1.3735,2.2862,1.6258,2.6802,1.6339,0.5952,1.1786
102,2.5678,1.2926,1.3751,1.3567,2.5219,1.5438,1.4836,2.3909,1.3322,2.1403,2.1854,0.9277,1.0541,1.274,1.2625,1.1062,2.3051,1.7917,1.3428,2.2775,1.6064,2.6672,1.6031,0.5668,1.1794
